interview__key,r_invasive_spices__id,eco_mgmt,eco_mgmt_rank,cost_management,how_effective
"06-65-59-46",2,"Early Planting, Resistant Varieties",1,0,"Slightly effective"
"06-65-59-46",2,"Cutting the Trees",2,0,"Slightly effective"
"31-55-25-17",2,"Do Nothing",1,0,"Not at all effective"
"46-83-77-72",1,"Do Nothing",1,0,"Not at all effective"
"46-83-77-72",2,"Sand and Ash",1,0,"Moderately effective"
"13-16-83-24",2,"Sand and Ash",1,0,"Slightly effective"
"13-16-83-24",2,"Cutting the Trees",2,0,"Slightly effective"
"55-65-07-83",1,"Use of Pesticides or Chemical Agents",1,6300,"Moderately effective"
"55-65-07-83",2,"Sand and Ash",1,0,"Slightly effective"
"55-65-07-83",3,"Sand and Ash",1,6000,"Slightly effective"
"19-58-06-14",4,"Sand and Ash",1,,
"19-58-06-14",4,"Cutting the Trees",2,,
"07-67-77-44",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"07-67-77-44",4,"Sand and Ash",1,,
"30-73-95-73",3,"Sand and Ash",1,0,"Moderately effective"
"30-73-95-73",3,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"81-01-27-26",3,"Burning",1,0,"Moderately effective"
"29-63-05-43",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Moderately effective"
"29-63-05-43",1,"Do Nothing",2,0,"Not at all effective"
"29-63-05-43",4,"Sand and Ash",1,,
"29-63-05-43",4,"Do Nothing",2,,
"69-97-70-98",2,"Do Nothing",1,0,"Not at all effective"
"15-06-78-78",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Not at all effective"
"09-89-86-48",3,"Burning",1,0,"Moderately effective"
"66-77-69-23",1,"Cutting the Trees",1,0,"Slightly effective"
"66-77-69-23",1,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"66-77-69-23",4,"Cutting the Trees",1,,
"66-77-69-23",4,"Burning",3,,
"66-77-69-23",4,"Uprooting Seedlings and Trees",2,,
"34-54-53-25",2,"Do Nothing",1,0,"Not at all effective"
"54-15-04-81",1,"Use of Pesticides or Chemical Agents",1,4000,"Moderately effective"
"54-15-04-81",3,"Burning",1,2000,"Slightly effective"
"30-29-61-21",2,"Weeding",1,0,"Not at all effective"
"32-65-13-57",2,"Do Nothing",1,0,"Not at all effective"
"64-69-72-73",2,"Do Nothing",1,0,"Not at all effective"
"25-20-08-58",2,"Weeding",1,8000,"Not at all effective"
"12-04-44-96",1,"Use of Pesticides or Chemical Agents",1,1000,"Moderately effective"
"12-04-44-96",3,"Sand and Ash",1,0,"Moderately effective"
"97-37-09-60",2,"Do Nothing",1,0,"Not at all effective"
"26-04-59-05",3,"Sand and Ash",2,0,"Slightly effective"
"26-04-59-05",3,"Burning",1,0,"Slightly effective"
"98-27-33-85",1,"Use of Pesticides or Chemical Agents",1,1600,"Moderately effective"
"98-27-33-85",3,"Sand and Ash",1,0,"Moderately effective"
"65-84-88-76",3,"Sand and Ash",1,0,"Not at all effective"
"65-84-88-76",4,"Sand and Ash",1,,
"88-58-36-62",4,"Uprooting Seedlings and Trees",1,,
"68-07-50-59",1,"Use of Pesticides or Chemical Agents",1,3000,"Moderately effective"
"68-07-50-59",2,"Weeding",1,4000,"Moderately effective"
"68-07-50-59",3,"Burning",1,800,"Moderately effective"
"69-15-02-37",4,"Sand and Ash",1,,
"69-15-02-37",4,"Cutting the Trees",2,,
"02-78-83-36",4,"Sand and Ash",1,,
"02-78-83-36",4,"Others, Specify",2,,
"97-59-33-64",1,"Use of Pesticides or Chemical Agents",1,5000,"Moderately effective"
"97-59-33-64",3,"Sand and Ash",1,0,"Moderately effective"
"62-96-19-75",1,"Use of Pesticides or Chemical Agents",1,1000,"Highly effective"
"62-96-19-75",2,"Weeding",1,0,"Highly effective"
"62-96-19-75",2,"Burning",2,0,"Highly effective"
"62-96-19-75",3,"Burning",1,0,"Highly effective"
"73-91-22-23",4,"Sand and Ash",2,,
"73-91-22-23",4,"Cutting the Trees",1,,
"20-05-42-35",4,"Sand and Ash",1,,
"20-05-42-35",4,"Cutting the Trees",2,,
"41-87-52-98",3,"Sand and Ash",1,0,"Not at all effective"
"41-87-52-98",4,"Sand and Ash",1,,
"53-00-97-20",1,"Weeding",1,0,"Slightly effective"
"53-00-97-20",2,"Weeding",1,0,"Slightly effective"
"53-00-97-20",2,"Cutting the Trees",2,0,"Slightly effective"
"53-00-97-20",2,"Uprooting Seedlings and Trees",3,0,"Slightly effective"
"33-41-86-29",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"33-41-86-29",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Moderately effective"
"33-41-86-29",3,"Sand and Ash",1,0,"Moderately effective"
"33-41-86-29",3,"Burning",2,0,"Moderately effective"
"32-86-73-25",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"32-86-73-25",3,"Sand and Ash",1,0,"Moderately effective"
"32-86-73-25",3,"Burning",2,0,"Highly effective"
"72-97-03-54",1,"Do Nothing",1,0,"Not at all effective"
"15-89-37-89",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"15-89-37-89",3,"Burning",1,0,"Moderately effective"
"12-79-12-74",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"12-79-12-74",4,"Sand and Ash",1,,
"12-79-12-74",4,"Others, Specify",2,,
"84-49-36-60",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"84-49-36-60",2,"Weeding",1,0,"Moderately effective"
"84-49-36-60",2,"Cutting the Trees",2,0,"Moderately effective"
"50-30-24-70",1,"Do Nothing",1,0,"Not at all effective"
"50-30-24-70",2,"Weeding",1,500,"Slightly effective"
"50-30-24-70",3,"Burning",1,6000,"Moderately effective"
"73-01-79-27",1,"Use of Pesticides or Chemical Agents",1,1200,"Highly effective"
"73-01-79-27",2,"Weeding",1,0,"Highly effective"
"73-01-79-27",2,"Burning",2,0,"Highly effective"
"73-01-79-27",3,"Burning",1,0,"Highly effective"
"61-70-56-76",1,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"61-70-56-76",2,"Sand and Ash",1,0,"Moderately effective"
"61-70-56-76",2,"Cutting the Trees",2,0,"Moderately effective"
"02-74-92-32",1,"Do Nothing",1,0,"Not at all effective"
"02-74-92-32",2,"Do Nothing",1,0,"Not at all effective"
"69-39-88-08",1,"Use of Pesticides or Chemical Agents",1,1500,"Slightly effective"
"69-39-88-08",2,"Burning",1,0,"Slightly effective"
"69-39-88-08",3,"Burning",1,0,"Slightly effective"
"97-74-84-66",2,"Cutting the Trees",1,0,"Moderately effective"
"15-82-53-55",3,"Burning",1,0,"Slightly effective"
"46-71-69-87",1,"Use of Pesticides or Chemical Agents",1,800,"Moderately effective"
"46-71-69-87",2,"Weeding",1,0,"Moderately effective"
"46-71-69-87",2,"Burning",2,0,"Highly effective"
"46-71-69-87",3,"Burning",1,0,"Highly effective"
"05-64-42-77",2,"Cutting the Trees",1,0,"Slightly effective"
"05-64-42-77",2,"Burning",2,0,"Slightly effective"
"05-64-42-77",3,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"05-64-42-77",3,"Cutting the Trees",2,0,"Slightly effective"
"65-63-71-66",1,"Use of Pesticides or Chemical Agents",1,2200,"Slightly effective"
"65-63-71-66",2,"Weeding",1,900,"Moderately effective"
"65-63-71-66",2,"Sand and Ash",3,0,"Slightly effective"
"65-63-71-66",2,"Burning",2,0,"Slightly effective"
"65-63-71-66",3,"Sand and Ash",2,1000,"Slightly effective"
"65-63-71-66",3,"Burning",1,2000,"Slightly effective"
"15-51-80-47",4,"Do Nothing",1,,
"32-74-61-81",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"32-74-61-81",3,"Sand and Ash",1,0,"Moderately effective"
"36-59-31-86",1,"Use of Pesticides or Chemical Agents",1,3000,"Highly effective"
"36-59-31-86",3,"Sand and Ash",1,4000,"Moderately effective"
"73-83-46-14",1,"Do Nothing",1,0,"Not at all effective"
"73-83-46-14",2,"Burning",1,0,"Slightly effective"
"73-83-46-14",3,"Burning",1,3000,"Slightly effective"
"07-04-05-10",1,"Use of Pesticides or Chemical Agents",1,1500,"Moderately effective"
"07-04-05-10",2,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"07-04-05-10",3,"Sand and Ash",2,500,"Slightly effective"
"07-04-05-10",3,"Burning",1,1000,"Highly effective"
"99-97-90-90",1,"Use of Pesticides or Chemical Agents",1,3000,"Highly effective"
"99-97-90-90",2,"Weeding",1,0,"Highly effective"
"99-97-90-90",2,"Use of Pesticides or Chemical Agents",2,1100,"Highly effective"
"99-97-90-90",3,"Burning",1,0,"Moderately effective"
"53-39-03-44",1,"Use of Pesticides or Chemical Agents",1,0,"Slightly effective"
"53-39-03-44",2,"Sand and Ash",1,0,"Highly effective"
"53-39-03-44",3,"Sand and Ash",1,0,"Moderately effective"
"85-50-39-09",1,"Use of Pesticides or Chemical Agents",1,1350,"Highly effective"
"85-50-39-09",2,"Weeding",1,0,"Slightly effective"
"85-50-39-09",3,"Burning",1,0,"Highly effective"
"46-32-17-36",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,100,"Slightly effective"
"46-32-17-36",2,"Cutting the Trees",1,0,"Not at all effective"
"46-32-17-36",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"85-98-37-69",1,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"85-98-37-69",2,"Weeding",1,0,"Slightly effective"
"85-98-37-69",3,"Burning",2,0,"Moderately effective"
"85-98-37-69",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"65-26-91-15",1,"Use of Pesticides or Chemical Agents",1,0,"Highly effective"
"65-26-91-15",2,"Sand and Ash",1,2500,"Highly effective"
"65-26-91-15",2,"Cutting the Trees",3,0,"Slightly effective"
"65-26-91-15",2,"Burning",2,1500,"Moderately effective"
"65-26-91-15",3,"Sand and Ash",2,0,"Moderately effective"
"65-26-91-15",3,"Burning",1,0,"Moderately effective"
"65-45-62-39",1,"Use of Pesticides or Chemical Agents",1,0,"Slightly effective"
"65-45-62-39",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Moderately effective"
"65-45-62-39",2,"Sand and Ash",1,900,"Moderately effective"
"65-45-62-39",2,"Burning",2,0,"Moderately effective"
"65-45-62-39",3,"Sand and Ash",1,0,"Slightly effective"
"47-59-10-25",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"47-59-10-25",2,"Weeding",2,0,"Slightly effective"
"47-59-10-25",2,"Burning",1,0,"Moderately effective"
"47-59-10-25",3,"Sand and Ash",1,0,"Slightly effective"
"47-59-10-25",3,"Burning",2,0,"Slightly effective"
"03-90-73-99",4,"Cutting the Trees",1,,
"43-25-90-61",4,"Cutting the Trees",1,,
"49-70-00-09",1,"Use of Pesticides or Chemical Agents",1,1500,"Moderately effective"
"49-70-00-09",2,"Weeding",1,5000,"Slightly effective"
"49-70-00-09",3,"Sand and Ash",2,2000,"Slightly effective"
"49-70-00-09",3,"Burning",1,5000,"Slightly effective"
"06-94-49-47",1,"Use of Pesticides or Chemical Agents",1,2000,"Highly effective"
"06-94-49-47",3,"Sand and Ash",1,1000,"Slightly effective"
"19-04-54-37",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"19-04-54-37",2,"Weeding",2,0,"Highly effective"
"19-04-54-37",2,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"19-04-54-37",3,"Burning",1,0,"Moderately effective"
"59-57-12-16",1,"Use of Pesticides or Chemical Agents",1,4000,"Slightly effective"
"59-57-12-16",2,"Use of Pesticides or Chemical Agents",1,1500,"Highly effective"
"59-57-12-16",2,"Burning",2,0,"Moderately effective"
"59-57-12-16",3,"Sand and Ash",2,0,"Moderately effective"
"59-57-12-16",3,"Burning",1,0,"Moderately effective"
"49-28-72-36",1,"Use of Pesticides or Chemical Agents",1,15000,"Moderately effective"
"49-28-72-36",2,"Weeding",1,5000,"Slightly effective"
"49-28-72-36",2,"Sand and Ash",2,0,"Not at all effective"
"49-28-72-36",3,"Sand and Ash",1,5000,"Slightly effective"
"49-28-72-36",3,"Burning",2,0,"Not at all effective"
"93-14-44-32",1,"Use of Pesticides or Chemical Agents",1,500,"Moderately effective"
"93-14-44-32",2,"Weeding",1,1000,"Moderately effective"
"93-14-44-32",2,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"93-14-44-32",3,"Sand and Ash",2,750,"Slightly effective"
"93-14-44-32",3,"Burning",1,1000,"Highly effective"
"51-90-88-91",1,"Use of Pesticides or Chemical Agents",1,800,"Slightly effective"
"51-90-88-91",2,"Weeding",1,0,"Slightly effective"
"51-90-88-91",2,"Burning",2,0,"Slightly effective"
"51-90-88-91",3,"Burning",1,0,"Slightly effective"
"12-47-74-84",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,1000,"Slightly effective"
"12-47-74-84",2,"Burning",1,0,"Not at all effective"
"12-47-74-84",3,"Uprooting Seedlings and Trees",1,0,"Not at all effective"
"66-45-27-28",2,"Weeding",2,1000,"Slightly effective"
"66-45-27-28",2,"Burning",1,0,"Slightly effective"
"61-66-59-51",1,"Do Nothing",1,0,"Not at all effective"
"61-66-59-51",3,"Burning",1,0,"Not at all effective"
"78-64-43-02",2,"Burning",1,0,"Not at all effective"
"78-64-43-02",3,"Sand and Ash",1,0,"Moderately effective"
"78-64-43-02",3,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"09-79-38-80",2,"Burning",1,0,"Slightly effective"
"03-23-67-97",1,"Use of Pesticides or Chemical Agents",1,3000,"Moderately effective"
"03-23-67-97",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"03-23-67-97",2,"Weeding",2,5000,"Slightly effective"
"03-23-67-97",2,"Use of Pesticides or Chemical Agents",1,3000,"Highly effective"
"03-23-67-97",3,"Sand and Ash",1,5000,"Slightly effective"
"03-23-67-97",3,"Burning",2,0,"Moderately effective"
"84-81-25-13",1,"Use of Pesticides or Chemical Agents",1,1600,"Moderately effective"
"84-81-25-13",2,"Burning",1,0,"Moderately effective"
"84-81-25-13",3,"Sand and Ash",1,40000,"Slightly effective"
"01-19-86-40",1,"Others, Specify",1,,
"69-16-25-63",1,"Do Nothing",1,0,"Not at all effective"
"58-95-91-31",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"58-95-91-31",2,"Sand and Ash",1,0,"Moderately effective"
"11-58-78-70",1,"Do Nothing",1,0,"Not at all effective"
"11-58-78-70",2,"Weeding",2,0,"Moderately effective"
"11-58-78-70",2,"Sand and Ash",1,0,"Moderately effective"
"41-24-59-26",4,"Cutting the Trees",1,,
"98-97-38-21",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"92-08-97-62",3,"Cutting the Trees",1,2000,"Not at all effective"
"92-08-97-62",3,"Uprooting Seedlings and Trees",2,2000,"Not at all effective"
"59-21-82-77",2,"Weeding",1,1000,"Slightly effective"
"59-21-82-77",3,"Sand and Ash",1,5000,"Slightly effective"
"59-21-82-77",3,"Burning",2,3000,"Slightly effective"
"80-20-31-51",2,"Do Nothing",1,0,"Not at all effective"
"33-11-85-60",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"33-11-85-60",2,"Burning",1,0,"Slightly effective"
"33-11-85-60",3,"Sand and Ash",1,0,"Slightly effective"
"06-48-61-69",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"12-93-60-92",1,"Weeding",1,0,"Slightly effective"
"12-93-60-92",1,"Sand and Ash",2,0,"Slightly effective"
"12-93-60-92",2,"Cutting the Trees",1,0,"Highly effective"
"12-93-60-92",2,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"11-11-55-95",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"82-15-11-19",2,"Sand and Ash",1,0,"Slightly effective"
"82-15-11-19",2,"Cutting the Trees",2,0,"Slightly effective"
"82-15-11-19",3,"Sand and Ash",1,0,"Slightly effective"
"82-15-11-19",3,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"95-73-95-89",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"02-47-29-85",1,"Use of Pesticides or Chemical Agents",1,1000,"Highly effective"
"02-47-29-85",2,"Burning",1,0,"Moderately effective"
"02-47-29-85",3,"Sand and Ash",2,0,"Moderately effective"
"02-47-29-85",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"91-34-05-43",3,"Burning",1,0,"Slightly effective"
"29-34-28-44",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"54-07-56-18",3,"Sand and Ash",1,0,"Slightly effective"
"54-07-56-18",3,"Burning",2,0,"Slightly effective"
"54-07-56-18",4,"Sand and Ash",1,,
"02-67-98-73",1,"Others, Specify",1,,
"02-67-98-73",2,"Sand and Ash",1,0,"Moderately effective"
"89-44-00-22",1,"Do Nothing",1,0,"Not at all effective"
"89-44-00-22",2,"Do Nothing",1,0,"Not at all effective"
"89-44-00-22",3,"Do Nothing",1,0,"Not at all effective"
"25-47-42-18",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"92-95-45-69",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"25-17-75-96",1,"Do Nothing",1,0,"Not at all effective"
"25-17-75-96",2,"Burning",1,0,"Slightly effective"
"25-17-75-96",3,"Burning",1,0,"Slightly effective"
"08-10-28-09",1,"Use of Pesticides or Chemical Agents",1,0,"Slightly effective"
"08-10-28-09",2,"Sand and Ash",1,0,"Moderately effective"
"08-10-28-09",3,"Sand and Ash",1,0,"Moderately effective"
"63-11-66-98",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"63-11-66-98",2,"Sand and Ash",1,0,"Moderately effective"
"63-11-66-98",3,"Sand and Ash",1,0,"Moderately effective"
"90-89-89-25",1,"Use of Pesticides or Chemical Agents",1,4000,"Moderately effective"
"90-89-89-25",2,"Weeding",1,3000,"Moderately effective"
"90-89-89-25",2,"Use of Pesticides or Chemical Agents",2,1300,"Slightly effective"
"90-89-89-25",3,"Burning",1,0,"Slightly effective"
"01-16-33-75",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"37-73-98-41",3,"Sand and Ash",2,0,"Slightly effective"
"37-73-98-41",3,"Burning",1,0,"Moderately effective"
"48-88-82-47",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"44-96-14-86",3,"Use of Pesticides or Chemical Agents",1,650,"Highly effective"
"47-83-83-86",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"47-83-83-86",2,"Weeding",1,1500,"Slightly effective"
"47-83-83-86",3,"Crop Diversification",1,5000,"Slightly effective"
"47-83-83-86",3,"Sand and Ash",2,2000,"Not at all effective"
"47-83-83-86",3,"Burning",3,0,"Slightly effective"
"47-83-83-86",4,"Sand and Ash",1,,
"79-40-96-41",3,"Burning",1,0,"Highly effective"
"60-73-28-03",1,"Do Nothing",1,0,"Not at all effective"
"60-73-28-03",2,"Sand and Ash",1,0,"Moderately effective"
"79-90-62-68",1,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"67-12-09-24",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"63-23-35-27",3,"Sand and Ash",1,0,"Moderately effective"
"04-92-66-81",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Moderately effective"
"93-87-16-02",3,"Sand and Ash",1,0,"Slightly effective"
"93-87-16-02",4,"Weeding",1,,
"93-87-16-02",4,"Burning",2,,
"65-31-14-31",3,"Burning",1,0,"Not at all effective"
"19-27-66-46",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"08-44-37-94",3,"Sand and Ash",1,0,"Slightly effective"
"71-04-48-02",2,"Weeding",1,0,"Moderately effective"
"71-04-48-02",3,"Sand and Ash",2,0,"Not at all effective"
"71-04-48-02",3,"Burning",1,0,"Slightly effective"
"24-04-95-50",3,"Burning",2,0,"Moderately effective"
"24-04-95-50",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"27-66-11-12",1,"Do Nothing",1,0,"Not at all effective"
"27-66-11-12",2,"Sand and Ash",1,0,"Moderately effective"
"11-10-12-08",3,"Sand and Ash",1,0,"Slightly effective"
"10-98-84-98",1,"Sand and Ash",1,0,"Moderately effective"
"97-63-71-09",1,"Do Nothing",1,0,"Not at all effective"
"97-63-71-09",2,"Burning",1,0,"Slightly effective"
"97-63-71-09",3,"Burning",1,0,"Not at all effective"
"11-29-74-23",3,"Sand and Ash",1,0,"Moderately effective"
"59-89-68-30",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"59-89-68-30",2,"Burning",1,0,"Moderately effective"
"59-89-68-30",3,"Burning",1,1500,"Highly effective"
"22-38-73-99",3,"Uprooting Seedlings and Trees",1,0,"Highly effective"
"81-45-95-70",1,"Do Nothing",1,0,"Not at all effective"
"81-45-95-70",2,"Sand and Ash",1,0,"Moderately effective"
"16-03-96-06",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"81-14-42-85",3,"Burning",1,0,"Not at all effective"
"22-88-97-60",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Highly effective"
"47-75-71-27",3,"Sand and Ash",1,2500,"Not at all effective"
"47-75-71-27",3,"Burning",2,3000,"Not at all effective"
"10-39-00-99",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Moderately effective"
"96-06-62-42",1,"Sand and Ash",1,0,"Moderately effective"
"11-59-44-40",2,"Burning",1,0,"Slightly effective"
"27-51-81-61",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"27-51-81-61",1,"Cutting the Trees",2,0,"Slightly effective"
"44-37-52-83",2,"Burning",1,0,"Not at all effective"
"45-92-75-89",3,"Sand and Ash",1,0,"Moderately effective"
"45-92-75-89",3,"Burning",2,0,"Moderately effective"
"85-71-09-15",1,"Do Nothing",1,0,"Not at all effective"
"64-51-39-39",3,"Burning",2,2000,"Moderately effective"
"64-51-39-39",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"36-28-42-39",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"95-09-61-15",3,"Sand and Ash",2,0,"Slightly effective"
"95-09-61-15",3,"Burning",1,0,"Slightly effective"
"95-09-61-15",3,"Uprooting Seedlings and Trees",3,0,"Slightly effective"
"86-63-74-80",1,"Do Nothing",1,0,"Not at all effective"
"67-27-36-61",3,"Burning",1,0,"Moderately effective"
"08-84-33-33",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"07-50-91-84",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,600,"Slightly effective"
"87-71-97-91",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"72-05-40-32",4,"Do Nothing",1,,
"87-43-28-28",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"87-43-28-28",1,"Sand and Ash",2,0,"Not at all effective"
"87-43-28-28",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"87-43-28-28",2,"Weeding",2,0,"Slightly effective"
"02-59-28-55",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"02-59-28-55",4,"Sand and Ash",1,,
"02-59-28-55",4,"Cutting the Trees",2,,
"41-71-16-88",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"41-71-16-88",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"91-57-08-43",1,"Weeding",1,0,"Slightly effective"
"91-57-08-43",1,"Sand and Ash",2,0,"Slightly effective"
"63-99-85-70",4,"Sand and Ash",1,,
"65-43-78-90",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"37-38-94-21",1,"Do Nothing",1,0,"Moderately effective"
"37-38-94-21",2,"Sand and Ash",1,0,"Moderately effective"
"77-42-43-43",1,"Use of Pesticides or Chemical Agents",1,1200,"Slightly effective"
"68-60-50-68",2,"Burning",1,0,"Slightly effective"
"46-89-69-47",2,"Weeding",1,0,"Slightly effective"
"46-89-69-47",4,"Sand and Ash",1,,
"46-89-69-47",4,"Burning",2,,
"46-72-66-83",4,"Sand and Ash",1,,
"46-72-66-83",4,"Burning",2,,
"25-02-52-66",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"55-56-28-22",1,"Others, Specify",1,,
"99-17-74-11",3,"Uprooting Seedlings and Trees",1,0,"Highly effective"
"46-53-61-02",1,"Weeding",1,0,"Not at all effective"
"46-53-61-02",2,"Burning",1,1,"Not at all effective"
"10-77-75-51",3,"Burning",1,0,"Moderately effective"
"71-70-88-23",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"50-33-80-84",2,"Burning",1,0,"Highly effective"
"21-95-76-65",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"21-95-76-65",1,"Weeding",2,0,"Slightly effective"
"21-95-76-65",1,"Burning",3,0,"Slightly effective"
"91-60-65-39",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"42-15-16-06",1,"Weeding",1,0,"Slightly effective"
"42-15-16-06",1,"Sand and Ash",2,0,"Slightly effective"
"00-11-52-27",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"87-56-56-81",3,"Burning",2,0,"Highly effective"
"87-56-56-81",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"81-79-89-86",1,"Do Nothing",1,0,"Not at all effective"
"10-18-23-80",2,"Do Nothing",1,0,"Not at all effective"
"65-08-75-81",2,"Do Nothing",1,0,"Not at all effective"
"71-59-52-11",1,"Intensive Cultivation",1,0,"Slightly effective"
"71-59-52-11",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Not at all effective"
"31-09-36-85",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,500,"Slightly effective"
"29-04-00-40",1,"Sand and Ash",1,0,"Slightly effective"
"29-04-00-40",1,"Burning",2,0,"Moderately effective"
"72-18-38-35",1,"Do Nothing",1,0,"Not at all effective"
"72-18-38-35",2,"Sand and Ash",1,0,"Moderately effective"
"83-34-07-73",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Moderately effective"
"70-36-24-93",1,"Others, Specify",1,,
"13-37-47-48",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"22-02-49-30",1,"Use of Pesticides or Chemical Agents",1,0,"Not at all effective"
"97-28-37-38",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",2,0,"Slightly effective"
"97-28-37-38",1,"Weeding",1,0,"Slightly effective"
"04-02-73-28",1,"Use of Pesticides or Chemical Agents",1,500,"Moderately effective"
"04-02-73-28",2,"Weeding",1,1500,"Moderately effective"
"57-09-51-71",2,"Weeding",1,0,"Slightly effective"
"57-09-51-71",2,"Burning",2,0,"Slightly effective"
"45-10-68-85",2,"Burning",1,0,"Moderately effective"
"72-72-49-77",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
