interview__key,any_livestock,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"86-00-13-77","No",,,,,,,,,,,,"",,,,
"48-57-10-38","No",,,,,,,,,,,,"",,,,
"69-84-94-36","No",,,,,,,,,,,,"",,,,
"18-54-82-39","No",,,,,,,,,,,,"",,,,
"72-38-29-03","Yes","No",,,,,,,,,,,"",,2,,"No"
"20-35-14-07","No",,,,,,,,,,,,"",,,,
"80-76-98-64","No",,,,,,,,,,,,"",,,,
"46-71-82-60","No",,,,,,,,,,,,"",,,,
"24-76-27-27","Yes","No",,,,,,,,,,,"",,5,,"No"
"85-49-52-94","No",,,,,,,,,,,,"",,,,
"41-14-53-27","Yes","No",,,,,,,,,,,"",,70,,"No"
"19-25-83-42","Yes","No",,,,,,,,,,,"",,5,,"No"
"52-70-09-40","No",,,,,,,,,,,,"",,,,
"14-14-61-40","No",,,,,,,,,,,,"",,,,
"79-24-47-25","No",,,,,,,,,,,,"",,,,
"98-74-77-48","No",,,,,,,,,,,,"",,,,
"45-71-76-98","No",,,,,,,,,,,,"",,,,
"07-23-89-71","No",,,,,,,,,,,,"",,,,
"05-94-07-12","No",,,,,,,,,,,,"",,,,
"58-90-20-54","No",,,,,,,,,,,,"",,,,
"50-03-32-43","Yes","No",,,,,,,,,,,"",,60,,"No"
"62-49-02-44","No",,,,,,,,,,,,"",,,,
"75-29-94-40","Yes","No",,,,,,,,,,,"",,1,,"No"
