interview__key,any_livestock,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"94-29-79-85","Yes","No","Yes","No","No","No","No",,30,350,8,"Communally owned",30,"No",,25,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"73-36-17-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"42-46-38-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"73-70-95-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-84-79-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-38-87-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"94-91-03-07","Yes","No","Yes","No","No","No","No",,30,14,2,"Communally owned",15,"No",,1,"No","No","Yes","No","No","No",720,"No","No","No","No","No","No","No","No","Yes","No","No",,"Wanted to move them to their own cattlepost","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"43-00-27-37","Yes","No","Yes","No","No","No","No",,40,60,7,"Communally owned",5,"No",,5,"No","No","No","No","No","Yes",20,"Yes","No",,"No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"97-63-44-51","Yes","No","Yes","No","No","No","No",,10,420,6,"Communally owned",50,"No",,6,"No","Yes","No","No","No","No",15,"No","No","No","No","No","No","No","No","No","No","Yes","No","","Yes","No","No","No","No","No",,"No","No","No","No","No",""
"13-97-69-06","Yes","Yes","Yes","No","No","No","No",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"64-91-38-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"81-33-83-30","Yes","No","Yes","No","No","No","No",,1,1,7,"Co-share/ co-farming",5,"No",,1,"No","Yes","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"19-42-84-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"13-49-27-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"08-12-43-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"82-85-64-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-02-04-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"00-91-45-36","Yes","No","Yes","No","No","No","No",,10,500,8,"Communally owned",50,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No",,"No",,"No","No","No","No","No",""
"11-05-72-97","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"16-99-02-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"31-99-53-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-93-31-20","Yes","No","No","Yes","No","No","No",,30,360,10,"Communally owned",15,"No",,54,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No",,"No","No","No",""
"87-13-21-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"55-27-15-85","Yes","No","No","Yes","No","No","No",,5,8,7,"Communally owned",10,"No",,10,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"59-41-96-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-18-88-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"24-64-78-21","Yes","No","Yes","No","No","No","No",,10,4,4,"Communally owned",6,"No",,5,"No","No","Yes","No","No","No",40,"No","No","No","No","No","No","No","No","No","No","No","Yes","Animal wildlife conflict","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"86-04-16-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-49-74-52","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"24-72-61-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"04-92-41-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"10-43-22-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-83-01-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"79-05-50-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"27-16-23-86","Yes","Yes","No","No","No","No","No",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"12-61-67-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"58-55-75-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"00-06-72-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"45-71-57-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"18-81-00-96","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"09-79-14-71","Yes","No","Yes","No","No","No","No",,20,420,7,"Communally owned",15,"No",,2,"No","Yes","No","No","No","No",20,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"71-80-89-34","Yes","Yes","Yes","No","No","No","No",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"05-16-40-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-65-24-94","Yes","No","No","Yes","No","No","No",,40,460,7,"Private owned with land title",2,"No",,16,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No",,"wildlife attacks"
"55-44-38-36","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-73-72-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-03-14-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"77-78-34-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-09-46-86","Yes","No","Yes","No","No","No","No",,60,7,5,"Private owned with land title",4,"No",,20,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No",,"No","No","Yes","Animal wildlife conflict"
"27-55-59-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-23-07-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"79-30-25-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"75-18-13-88","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"40-16-04-38","Yes","Yes","No","No","No","No","No",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"",,"No","No",,"No","No","No","No","No","No","No","Yes","WILD ANIMALS KILLING THEM"
"49-34-25-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"02-31-03-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"88-23-45-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-15-40-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"06-55-62-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"57-74-77-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"28-44-25-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"90-03-82-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"24-47-59-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"23-30-88-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-38-90-85","Yes","No","Yes","No","No","No","No",,30,1,8,"Communally owned",8,"No",,1,"No","Yes","No","No","No","No",30,"Yes","No",,"No","No","No","No",,"No","No","No","No","","Yes","No",,"No","No","No","No",,"No","No","No","No",""
"76-02-43-67","Yes","No","Yes","No","No","No","No",,5,10,6,"Communally owned",10,"No",,15,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"58-63-03-99","Yes","No","No","No","Yes","No","No",,30,420,7,"Co-share/ co-farming",20,"No",,21,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No",,"Conflicts with wildlife"
"53-04-65-79","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-16-15-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"85-34-28-65","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"08-72-41-04","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-20-18-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"56-53-54-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"01-08-40-07","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"74-08-40-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"14-31-43-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"24-80-99-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"40-28-46-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"31-20-26-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-39-15-65","Yes","No","No","Yes","No","No","No",,10,500,8,"State owned",20,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No",,"No","No","No","No","No","No","No",""
"45-44-88-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"91-91-62-09","Yes","No","Yes","No","No","No","No",,5,4,5,"Communally owned",3,"No",,3,"No","Yes","No","No","No","Yes",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","Yes","No","No","No","No","No","No","No",""
"88-82-89-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"79-34-34-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"07-03-46-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"52-55-71-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"42-79-46-81","Yes","No","Yes","No","No","No","No",,5,1,6,"Communally owned",4,"No",,6,"No","Yes","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","Yes","SINCE SHE STARTED RAISING GOATS SHE HAS ALWAYS BEEN FEEDING WITHIN THE VILLAGE","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"39-12-44-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"21-92-10-43","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"29-41-63-44","Yes","No","No","Yes","No","No","No",,20,140,2,"State owned",24,"No",,2,"No","Yes","No","No","No","No",60,"No","No","No","No","No","No","No","No","Yes","No","No","No","","No","No","No","No","No","No","No","No","Yes","No","No",,"attack by wildlife"
"19-83-50-72","Yes","No","No","Yes","No","No","No",,60,2,7,"Communally owned",12,"No",,5,"No","No","No","Yes","No","No",120,"No","No","No","No","No","No","No","No","No","No","No","Yes","relocation back home","No","No","No","No","No","No","No","No","No","No","No","Yes","eaten by wild animals"
"58-42-18-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-22-87-49","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"85-54-41-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"91-10-07-30","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"12-91-55-52","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"74-40-02-20","Yes","No","No","Yes","No","No","No",,50,590,9,"Communally owned",5,"No",,10,,,,,,,,,,,,,,,,,,,,"",,"No","Yes","No","No","No","No","No","No","No","No","No",""
"09-31-11-33","Yes","No","No","Yes","No","No","No",,5,15,5,"Private owned with land title",3,"No",,3,"No","Yes","No","No","No","No",2,"Yes","No","No","No",,"No","No","No","No","No","No","No","","No","No","No","No","No","No","No","Yes","No","No","No",,"animal wildlife conflict"
"87-08-33-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"61-84-77-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"75-58-44-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-16-18-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"04-26-72-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"54-13-05-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"23-66-97-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"06-64-69-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"56-62-10-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"05-04-82-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"03-81-35-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"87-65-62-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"95-74-95-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"51-31-85-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"51-50-93-70","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"43-24-35-84","Yes","No","Yes","No","No","No","No",,30,60,8,"Communally owned",10,"No",,8,"No","No","No","No","No","Yes",30,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","No","Yes","WILD ANIMALS"
"89-88-34-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"14-85-25-58","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"46-82-10-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"80-79-44-48","Yes","No","No","Yes","No","No","No",,30,20,6,"Communally owned",6,"No",,2,"No","No","No","No","No","Yes",30,"No","No","No","No","Yes","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"86-55-30-87","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"95-51-95-92","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"89-51-80-40","Yes","No","Yes","No","No","No","No",,2,420,7,"Communally owned",17,"No",,30,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"80-53-41-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"59-60-43-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"87-22-49-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"98-98-98-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"19-11-80-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"02-55-85-64","Yes","No","No","Yes","No","No","No",,120,16,12,"State owned",40,"No",,15,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","Yes","No","No","No","No",""
"61-35-56-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"57-52-43-19","Yes","No","No","Yes","No","No","No",,120,480,10,"Communally owned",6,"No",,3,"No","No","Yes","No","No","No",80,"Yes","No",,"No","No",,"No","No","No","No","No","No","","No","No","Yes","No","No","No","No","No",,"No","No",,"wildlife attacks"
"39-14-69-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-36-49-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"80-82-49-42","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"47-81-87-67","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"55-33-21-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"42-50-27-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"74-79-87-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-64-27-45","Yes","No","Yes","No","No","No","No",,15,303,8,"Communally owned",2,"No",,8,"No","Yes","No","No","No","No",15,"Yes","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","Yes","WILD LIFE ATTACKS"
"43-28-98-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"28-12-52-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"98-31-37-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"50-46-09-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-80-48-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"59-69-31-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"68-17-57-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-67-13-71","Yes","No","No","No","Yes","No","No",,30,540,8,"Communally owned",50,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"14-98-70-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"25-90-19-11","Yes","No","Yes","No","No","No","No",,60,720,10,"Communally owned",5,"No",,4,"Yes","Yes","No","No","No","No",,"Yes","No",,"No",,"No","No","No","No","No","No","No","","Yes","No",,"No",,"No","No","No","No","No","No","No",""
"45-83-41-38","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"95-39-93-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"61-12-40-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-71-40-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"36-42-18-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"19-03-38-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-48-70-16","Yes","No","Yes","No","No","No","No",,60,540,8,"Communally owned",20,"No",,40,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No",,"PREDATORS"
"34-14-49-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-89-40-33","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-39-45-84","Yes","No","No","No","Yes","No","No",,10,360,6,"Co-share/ co-farming",6,"No",,21,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"98-85-46-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"80-21-91-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-74-67-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"88-01-88-32","Yes","No","Yes","No","No","No","No",,5,240,5,"Don’t know",5,"No",,16,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Wildlife conflict"
"98-88-56-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-73-38-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"93-79-44-00","Yes","No","No","No","Yes","No","No",,30,480,7,"Communally owned",30,"No",,5,"No","No","No","Yes","No","No",30,"Yes","No","No","No","No",,"No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"26-07-22-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"55-76-99-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"38-33-66-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"16-65-54-37","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"20-77-43-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"08-12-15-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"43-73-48-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-00-77-05","Yes","No","No","No","No","No","Yes",,180,480,8,"Communally owned",2,"No",,4,"No","No","No","No","No","Yes",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","Yes","No","No","No","No",""
"04-04-14-28","Yes","No","No","Yes","No","No","No",,30,540,8,"State owned",30,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No",,"no fence so their livestock graze with the namibian ones so some end up in Namibia"
"06-32-06-25","Yes","No","No","Yes","No","No","No",,2,540,7,"Communally owned",10,"No",,21,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"91-35-74-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"87-84-09-54","Yes","No","No","Yes","No","No","No",,10,500,8,"State owned",15,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"62-23-61-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"51-67-29-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"93-42-86-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"31-42-54-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"40-00-25-74","Yes","No","Yes","No","No","No","No",,10,400,6,"State owned",20,"No",,2,"No","Yes","No","No","No","No",20,"Yes","No",,"No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"32-73-63-74","Yes","No","No","Yes","No","No","No",,60,420,6,"Communally owned",5,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No",,"No","No","No",""
"16-86-88-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
