interview__key,conseration_agri,conserve_know,practise_ca,future_like_ca,why_future_ca_1__1,why_future_ca_1__2,why_future_ca_1__3,why_future_ca_1__96,why_future_ca_1_other,why_future_ca_2__1,why_future_ca_2__2,why_future_ca_2__3,why_future_ca_2__4,why_future_ca_2__5,why_future_ca_2__96,why_future_ca_2_other
"15-20-57-47","No","No","No",,,,,,"",,,,,,,""
"36-81-71-64","Yes","No","No",,,,,,"",,,,,,,""
"34-71-72-72","Yes","No","No",,,,,,"",,,,,,,""
"66-60-15-44","No","No","No",,,,,,"",,,,,,,""
"86-30-61-13","Yes","Yes","No",,,,,,"",,,,,,,""
"36-54-39-30","No","No","No",,,,,,"",,,,,,,""
"74-23-76-31","Yes","Yes","Yes",,,,,,"",,,,,,,""
"22-34-78-24","Yes","No","No",,,,,,"",,,,,,,""
"78-05-45-34","No","No","No",,,,,,"",,,,,,,""
"05-02-80-96","No","No","No",,,,,,"",,,,,,,""
"83-39-85-57","No","No","No",,,,,,"",,,,,,,""
"02-11-27-45","No","No","No",,,,,,"",,,,,,,""
"66-26-16-39","Yes","Yes","No",,,,,,"",,,,,,,""
"74-47-09-34","No","No","No",,,,,,"",,,,,,,""
"74-42-03-33","No","No","No",,,,,,"",,,,,,,""
"24-64-36-53","Yes","Yes","Yes",,,,,,"",,,,,,,""
"39-16-84-49","No","No","No",,,,,,"",,,,,,,""
"65-82-18-72","Yes","No","No",,,,,,"",,,,,,,""
"98-04-19-51","No","No","No",,,,,,"",,,,,,,""
"33-66-03-17","No","No","No",,,,,,"",,,,,,,""
"23-12-49-21","No","No","No",,,,,,"",,,,,,,""
"95-95-21-82","Yes","No","No",,,,,,"",,,,,,,""
"84-16-65-13","Yes","Yes","Yes",,,,,,"",,,,,,,""
"35-36-66-35","No","No","No",,,,,,"",,,,,,,""
"22-48-72-19","No","No","No",,,,,,"",,,,,,,""
"16-02-48-49","No","No","No",,,,,,"",,,,,,,""
"88-09-49-72","Yes","No","No",,,,,,"",,,,,,,""
"46-87-53-18","No","No","No",,,,,,"",,,,,,,""
"24-20-26-70","No","No","No",,,,,,"",,,,,,,""
"52-82-33-48","No","No","No",,,,,,"",,,,,,,""
"26-48-97-52","No","No","No",,,,,,"",,,,,,,""
"33-86-77-56","Yes","No","Yes",,,,,,"",,,,,,,""
"78-86-05-10","No","No","No",,,,,,"",,,,,,,""
"15-96-39-00","No","No","No",,,,,,"",,,,,,,""
"39-41-06-02","Yes","No","No",,,,,,"",,,,,,,""
"95-15-78-87","No","No","No",,,,,,"",,,,,,,""
"52-97-51-26","Yes","Yes","Yes",,,,,,"",,,,,,,""
"02-78-29-37","No","No","No",,,,,,"",,,,,,,""
"27-36-10-42","No","No","No",,,,,,"",,,,,,,""
"45-97-40-37","No","No","No",,,,,,"",,,,,,,""
"41-24-37-83","No","No","No",,,,,,"",,,,,,,""
"90-44-42-58","No","No","Yes",,,,,,"",,,,,,,""
"15-49-26-93","No","No","No",,,,,,"",,,,,,,""
"29-96-24-29","Yes","No","No",,,,,,"",,,,,,,""
"88-98-18-23","No","No","No",,,,,,"",,,,,,,""
"03-33-61-52","No","No","No",,,,,,"",,,,,,,""
"95-42-30-88","No","No","No",,,,,,"",,,,,,,""
"41-58-71-65","No","No","No",,,,,,"",,,,,,,""
"47-41-93-44","No","No","No",,,,,,"",,,,,,,""
"44-97-44-34","No","No","No",,,,,,"",,,,,,,""
"39-60-71-79","Yes","Yes","No",,,,,,"",,,,,,,""
"02-67-41-60","No","No","No",,,,,,"",,,,,,,""
"83-56-74-03","No","No","No",,,,,,"",,,,,,,""
"04-28-47-30","No","No","No",,,,,,"",,,,,,,""
"01-68-97-25","No","No","No",,,,,,"",,,,,,,""
"66-08-16-26","No","No","No",,,,,,"",,,,,,,""
"93-32-02-54","Yes","No","No",,,,,,"",,,,,,,""
"83-94-17-95","Yes","No","No",,,,,,"",,,,,,,""
"60-60-16-78","No","No","No",,,,,,"",,,,,,,""
"26-78-47-00","No","No","No",,,,,,"",,,,,,,""
"79-98-45-89","Yes","No","No",,,,,,"",,,,,,,""
"90-54-49-60","No","No","No",,,,,,"",,,,,,,""
"31-84-01-85","Yes","Yes","No",,,,,,"",,,,,,,""
"40-47-23-70","No","No","No",,,,,,"",,,,,,,""
"97-69-93-58","Yes","Yes","Yes",,,,,,"",,,,,,,""
"58-00-80-50","No","No","No",,,,,,"",,,,,,,""
"16-58-48-79","No","No","No",,,,,,"",,,,,,,""
"05-01-86-08","Yes","Yes","No",,,,,,"",,,,,,,""
"89-75-04-06","No","No","No",,,,,,"",,,,,,,""
"52-25-69-44","No","No","No",,,,,,"",,,,,,,""
"71-97-04-61","No","No","No",,,,,,"",,,,,,,""
"46-80-42-17","Yes","No","No",,,,,,"",,,,,,,""
"58-78-23-20","No","No","No",,,,,,"",,,,,,,""
"35-69-94-08","Yes","No","No",,,,,,"",,,,,,,""
"10-25-31-32","No","No","No",,,,,,"",,,,,,,""
"38-79-29-34","No","No","No",,,,,,"",,,,,,,""
"89-83-56-79","No","No","No",,,,,,"",,,,,,,""
"50-21-50-41","No","No","No",,,,,,"",,,,,,,""
"44-19-49-55","No","No","No",,,,,,"",,,,,,,""
"55-68-88-94","No","No","No",,,,,,"",,,,,,,""
"59-93-51-03","No","No","No",,,,,,"",,,,,,,""
"07-70-44-38","No","No","No",,,,,,"",,,,,,,""
"59-31-16-60","No","No","No",,,,,,"",,,,,,,""
"84-43-04-55","No","No","No",,,,,,"",,,,,,,""
"90-23-91-34","Yes","No","No",,,,,,"",,,,,,,""
"00-25-69-00","No","No","No",,,,,,"",,,,,,,""
"43-06-63-67","Yes","No","No",,,,,,"",,,,,,,""
"28-10-90-34","No","No","No",,,,,,"",,,,,,,""
"13-06-00-33","Yes","No","Yes",,,,,,"",,,,,,,""
"93-88-34-77","No","No","No",,,,,,"",,,,,,,""
"77-13-46-95","No","No","No",,,,,,"",,,,,,,""
"54-15-29-03","No","No","No",,,,,,"",,,,,,,""
"58-43-21-07","No","No","No",,,,,,"",,,,,,,""
"54-82-42-61","No","No","No",,,,,,"",,,,,,,""
"31-76-77-10","No","No","No",,,,,,"",,,,,,,""
"75-33-12-39","Yes","No","No",,,,,,"",,,,,,,""
"47-33-25-93","Yes","No","No",,,,,,"",,,,,,,""
"35-34-76-48","No","No","No",,,,,,"",,,,,,,""
"26-98-60-20","Yes","Yes","Yes",,,,,,"",,,,,,,""
"20-88-32-55","No","No","No",,,,,,"",,,,,,,""
"73-42-30-97","No","No","No",,,,,,"",,,,,,,""
"38-84-78-59","No","No","No",,,,,,"",,,,,,,""
"70-09-32-42","No","No","No",,,,,,"",,,,,,,""
"76-04-07-19","No","No","No",,,,,,"",,,,,,,""
"70-32-51-26","No","No","No",,,,,,"",,,,,,,""
"56-61-77-64","No","No","No",,,,,,"",,,,,,,""
"50-82-91-34","No","No","No",,,,,,"",,,,,,,""
"83-60-63-11","Yes","No","No",,,,,,"",,,,,,,""
"80-51-82-08","No","No","No",,,,,,"",,,,,,,""
"49-80-85-60","Yes","Yes","Yes",,,,,,"",,,,,,,""
"81-64-86-08","Yes","No","No",,,,,,"",,,,,,,""
"33-82-62-40","No","No","No",,,,,,"",,,,,,,""
"56-48-48-33","No","No","No",,,,,,"",,,,,,,""
"19-43-49-26","No","No","No",,,,,,"",,,,,,,""
"52-63-91-75","No","No","No",,,,,,"",,,,,,,""
"60-93-32-66","No","No","No",,,,,,"",,,,,,,""
"37-44-93-64","Yes","Yes","Yes",,,,,,"",,,,,,,""
"83-19-87-02","Yes","Yes","No",,,,,,"",,,,,,,""
"83-26-13-29","Yes","No","No",,,,,,"",,,,,,,""
"02-40-91-04","No","No","No",,,,,,"",,,,,,,""
"31-74-57-88","No","No","No",,,,,,"",,,,,,,""
"09-16-66-27","Yes","No","No",,,,,,"",,,,,,,""
"02-99-67-45","No","No","No",,,,,,"",,,,,,,""
"18-26-92-76","No","No","No",,,,,,"",,,,,,,""
"54-98-92-77","No","No","No",,,,,,"",,,,,,,""
"94-90-21-30","Yes","No","No",,,,,,"",,,,,,,""
"34-25-16-71","No","No","No",,,,,,"",,,,,,,""
"26-18-25-14","No","No","No",,,,,,"",,,,,,,""
"62-93-86-46","No","No","No",,,,,,"",,,,,,,""
"85-20-92-08","No","No","No",,,,,,"",,,,,,,""
"65-60-16-01","No","No","No",,,,,,"",,,,,,,""
"83-41-72-29","No","No","No",,,,,,"",,,,,,,""
"21-46-08-35","No","No","No",,,,,,"",,,,,,,""
"37-32-34-84","No","No","No",,,,,,"",,,,,,,""
"13-52-22-69","Yes","Yes","Yes",,,,,,"",,,,,,,""
"39-17-92-41","No","No","No",,,,,,"",,,,,,,""
"33-45-72-89","No","No","No",,,,,,"",,,,,,,""
"31-31-05-64","No","No","No",,,,,,"",,,,,,,""
"86-99-45-42","Yes","No","No",,,,,,"",,,,,,,""
"56-98-53-98","Yes","Yes","Yes",,,,,,"",,,,,,,""
"56-36-96-19","Yes","No","No",,,,,,"",,,,,,,""
"50-58-13-59","Yes","No","No",,,,,,"",,,,,,,""
"96-16-19-85","Yes","Yes","Yes",,,,,,"",,,,,,,""
"64-96-31-31","No","No","No",,,,,,"",,,,,,,""
"12-39-25-67","Yes","Yes","No",,,,,,"",,,,,,,""
"94-38-82-64","Yes","Yes","No",,,,,,"",,,,,,,""
"32-40-73-26","Yes","No","No",,,,,,"",,,,,,,""
"27-85-21-15","Yes","No","No",,,,,,"",,,,,,,""
"31-68-89-01","No","No","No",,,,,,"",,,,,,,""
"72-31-90-61","Yes","Yes","No",,,,,,"",,,,,,,""
"80-54-37-07","Yes","Yes","Yes",,,,,,"",,,,,,,""
"36-19-32-95","Yes","Yes","Yes",,,,,,"",,,,,,,""
"75-71-40-40","Yes","No","No",,,,,,"",,,,,,,""
"37-54-02-07","No","No","No",,,,,,"",,,,,,,""
"60-74-79-59","No","No","No",,,,,,"",,,,,,,""
"96-89-11-69","No","No","No",,,,,,"",,,,,,,""
"44-81-28-86","No","No","No",,,,,,"",,,,,,,""
"33-26-68-81","Yes","Yes","No",,,,,,"",,,,,,,""
"12-27-31-91","Yes","Yes","Yes",,,,,,"",,,,,,,""
"44-39-19-46","Yes","Yes","No",,,,,,"",,,,,,,""
"19-73-20-43","Yes","No","No",,,,,,"",,,,,,,""
"86-42-35-25","Yes","No","No",,,,,,"",,,,,,,""
"21-53-70-02","No","No","No",,,,,,"",,,,,,,""
"36-25-22-73","Yes","No","Yes",,,,,,"",,,,,,,""
"61-61-32-11","No","No","No",,,,,,"",,,,,,,""
"57-36-34-63","No","No","No",,,,,,"",,,,,,,""
"53-72-73-00","No","No","No",,,,,,"",,,,,,,""
"33-70-72-42","No","No","No",,,,,,"",,,,,,,""
"52-18-64-85","No","No","No",,,,,,"",,,,,,,""
"42-07-25-32","No","No","No",,,,,,"",,,,,,,""
"39-53-01-83","Yes","No","No",,,,,,"",,,,,,,""
"33-51-31-80","No","No","No",,,,,,"",,,,,,,""
"94-39-43-68","No","No","No",,,,,,"",,,,,,,""
"03-54-18-25","Yes","Yes","Yes",,,,,,"",,,,,,,""
"27-58-94-59","No","No","No",,,,,,"",,,,,,,""
"33-86-19-67","No","No","No",,,,,,"",,,,,,,""
"09-53-75-86","Yes","No","Yes",,,,,,"",,,,,,,""
"85-34-92-87","No","No","No",,,,,,"",,,,,,,""
"75-94-09-47","No","No","No",,,,,,"",,,,,,,""
"84-71-43-61","No","No","No",,,,,,"",,,,,,,""
"07-42-93-10","No","No","No",,,,,,"",,,,,,,""
"06-11-12-17","No","No","No",,,,,,"",,,,,,,""
"15-55-21-38","No","No","No",,,,,,"",,,,,,,""
"61-89-87-62","No","No","No",,,,,,"",,,,,,,""
"05-53-30-00","Yes","No","No",,,,,,"",,,,,,,""
"00-18-71-95","No","No","No",,,,,,"",,,,,,,""
"93-03-74-23","No","No","No",,,,,,"",,,,,,,""
"98-02-00-97","No","No","No",,,,,,"",,,,,,,""
"39-55-54-03","No","No","No",,,,,,"",,,,,,,""
"55-64-77-57","No","No","No",,,,,,"",,,,,,,""
"12-97-85-94","No","No","No",,,,,,"",,,,,,,""
"85-58-05-93","No","No","No",,,,,,"",,,,,,,""
"36-06-01-35","No","No","No",,,,,,"",,,,,,,""
"11-36-65-74","Yes","No","No",,,,,,"",,,,,,,""
"87-74-62-05","No","No","No",,,,,,"",,,,,,,""
"74-09-83-15","Yes","No","No",,,,,,"",,,,,,,""
"99-86-29-88","No","No","No",,,,,,"",,,,,,,""
"10-97-13-34","No","No","No",,,,,,"",,,,,,,""
"53-72-96-12","No","No","No",,,,,,"",,,,,,,""
"22-21-62-20","Yes","No","No",,,,,,"",,,,,,,""
"64-31-79-16","No","No","No",,,,,,"",,,,,,,""
"01-18-26-42","No","No","No",,,,,,"",,,,,,,""
"82-55-52-94","No","No","No",,,,,,"",,,,,,,""
"19-07-40-38","Yes","No","No",,,,,,"",,,,,,,""
"65-17-55-88","Yes","No","Yes",,,,,,"",,,,,,,""
"71-44-93-64","Yes","No","No",,,,,,"",,,,,,,""
"34-19-14-62","No","No","No",,,,,,"",,,,,,,""
"22-51-06-37","No","No","No",,,,,,"",,,,,,,""
"27-70-53-20","No","No","No",,,,,,"",,,,,,,""
"98-81-19-82","No","No","No",,,,,,"",,,,,,,""
"39-67-03-82","Yes","Yes","Yes",,,,,,"",,,,,,,""
"46-14-07-81","Yes","Yes","No",,,,,,"",,,,,,,""
